Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,Yes,No,43,Yes,No,No,No,No,Month-to-month,No,Electronic check,36.32,1536.16,0
Female,0,Yes,Yes,44,Yes,Fiber optic,Yes,No,Yes,Month-to-month,No,Mailed check,39.78,1734.24,0
Male,0,Yes,No,68,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,19.72,1323.5,0
Female,0,Yes,No,33,Yes,DSL,No,No,Yes,One year,Yes,Electronic check,91.92,3050.73,0
Male,0,No,No,24,Yes,DSL,No,Yes,Yes,Month-to-month,Yes,Bank transfer,83.7,2074.97,0
Male,0,Yes,No,36,Yes,Fiber optic,No,No,No,Month-to-month,No,Mailed check,36.16,1323.14,1
Male,0,No,No,10,Yes,DSL,No,No,Yes,One year,Yes,Bank transfer,98.7,986.36,0
Male,0,Yes,No,20,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer,48.52,997.72,1
Male,0,No,No,12,Yes,DSL,No,No,No,Month-to-month,No,Bank transfer,31.77,420.25,0
Female,0,Yes,Yes,62,Yes,Fiber optic,Yes,No,Yes,Two year,No,Credit card,61.1,3817.1,0
Female,0,Yes,No,18,Yes,Fiber optic,No,Yes,Yes,Month-to-month,No,Mailed check,27.28,457.67,1
Female,1,No,No,63,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Credit card,44.85,2846.78,1
Female,0,No,No,25,No,DSL,No,Yes,No,Month-to-month,No,Mailed check,55.88,1291.02,0
Female,0,Yes,No,12,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Electronic check,104.89,1335.38,1
Male,0,Yes,No,21,Yes,Fiber optic,No,No,Yes,One year,Yes,Bank transfer,98.84,2152.19,1
Female,1,Yes,No,25,Yes,DSL,Yes,No,No,Month-to-month,No,Mailed check,63.16,1623.47,1
Female,0,Yes,No,11,No,No,No,No,No,Two year,Yes,Mailed check,91.91,1073.31,0
Male,1,Yes,Yes,64,Yes,DSL,No,No,No,Two year,Yes,Electronic check,76.0,4860.29,0
Female,0,No,No,50,Yes,Fiber optic,No,Yes,Yes,Month-to-month,No,Credit card,52.77,2600.98,1
Male,1,Yes,Yes,62,Yes,Fiber optic,No,No,No,Two year,Yes,Mailed check,92.04,5643.78,1
Female,0,Yes,Yes,49,Yes,DSL,No,No,Yes,Month-to-month,No,Mailed check,87.72,4348.69,0
Male,1,No,No,14,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card,81.15,1098.57,0
Female,0,No,No,1,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Credit card,81.03,62.34,1
Female,0,No,No,25,Yes,DSL,No,Yes,No,Month-to-month,No,Mailed check,87.66,2202.71,0
Male,0,Yes,Yes,59,Yes,Fiber optic,No,No,No,One year,No,Credit card,57.22,3374.11,0
Male,0,Yes,No,69,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Electronic check,106.65,7372.09,1
Male,0,No,No,5,Yes,Fiber optic,Yes,No,No,Two year,No,Electronic check,34.56,82.39,0
Male,1,Yes,No,19,Yes,Fiber optic,Yes,No,No,One year,Yes,Bank transfer,108.16,2043.37,1
Male,1,Yes,No,23,Yes,DSL,No,No,No,Month-to-month,No,Mailed check,52.91,1258.14,1
Male,0,No,No,9,Yes,DSL,No,Yes,No,One year,Yes,Electronic check,30.75,255.16,0
Male,0,No,No,50,Yes,No,No,No,Yes,Two year,No,Electronic check,79.2,3916.89,0
Male,0,No,No,16,Yes,DSL,No,No,Yes,Month-to-month,Yes,Electronic check,56.35,949.34,1
Female,0,Yes,Yes,33,Yes,No,No,No,No,Month-to-month,No,Bank transfer,101.18,3317.73,0
Female,0,Yes,No,2,Yes,DSL,No,No,No,Month-to-month,No,Credit card,61.94,133.1,0
Male,0,No,No,14,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,86.19,1196.14,0
Female,0,Yes,No,1,Yes,Fiber optic,No,No,No,Month-to-month,No,Bank transfer,49.44,49.42,1
Female,0,No,Yes,58,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,Bank transfer,39.36,2359.36,1
Female,0,No,No,16,Yes,DSL,Yes,Yes,No,One year,Yes,Bank transfer,57.58,949.88,0
Female,0,No,No,47,Yes,DSL,No,No,Yes,One year,No,Mailed check,79.89,3693.74,0
Male,0,Yes,No,44,Yes,DSL,No,Yes,Yes,One year,Yes,Mailed check,85.01,3721.84,0
Female,0,Yes,Yes,14,Yes,DSL,No,Yes,No,Month-to-month,Yes,Electronic check,76.98,1057.09,0
Male,1,No,No,24,No,DSL,Yes,No,No,Month-to-month,Yes,Bank transfer,118.78,2861.54,1
Female,0,No,No,55,Yes,Fiber optic,No,Yes,Yes,Month-to-month,No,Bank transfer,88.49,4912.39,0
Female,0,No,No,15,No,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,113.02,1696.89,1
Female,0,Yes,Yes,34,Yes,No,Yes,Yes,No,Two year,Yes,Credit card,30.03,1021.14,0
Male,0,Yes,No,2,Yes,Fiber optic,No,Yes,Yes,Month-to-month,No,Mailed check,24.26,0.0,0
Female,1,No,No,27,Yes,Fiber optic,No,No,No,Month-to-month,No,Bank transfer,49.72,1408.64,1
Male,0,No,Yes,23,Yes,Fiber optic,No,No,No,Month-to-month,No,Credit card,31.93,726.0,0
Female,0,No,Yes,68,Yes,Fiber optic,No,No,Yes,Two year,No,Credit card,71.64,4884.45,0
Male,0,Yes,No,14,Yes,Fiber optic,No,No,Yes,One year,No,Bank transfer,70.94,1005.97,0
Female,1,No,Yes,63,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer,76.65,4790.49,1
Male,1,No,Yes,65,No,DSL,No,Yes,Yes,Month-to-month,Yes,Credit card,94.01,6098.45,1
Male,0,No,No,68,Yes,DSL,No,Yes,No,Month-to-month,No,Mailed check,117.08,7922.59,0
Female,0,Yes,No,63,Yes,Fiber optic,No,No,No,One year,No,Mailed check,107.58,6846.71,0
Male,0,Yes,Yes,64,Yes,DSL,No,No,No,Two year,No,Bank transfer,30.07,1813.29,0
Female,1,No,No,32,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer,52.53,1633.29,0
Female,0,Yes,Yes,13,Yes,No,No,No,Yes,One year,Yes,Electronic check,44.09,557.07,1
Female,1,Yes,Yes,66,Yes,DSL,No,Yes,No,Month-to-month,No,Electronic check,36.04,2453.51,0
Female,0,No,Yes,19,Yes,DSL,No,No,No,Month-to-month,No,Mailed check,73.56,1433.03,0
Female,0,Yes,No,24,Yes,Fiber optic,No,No,Yes,Two year,No,Electronic check,74.43,1704.42,0
Female,0,No,Yes,11,Yes,Fiber optic,Yes,No,No,Month-to-month,Yes,Credit card,41.18,447.2,0
Female,0,Yes,Yes,59,Yes,DSL,No,No,No,Two year,Yes,Credit card,90.61,5382.06,0
Female,0,No,No,15,Yes,Fiber optic,No,No,No,Month-to-month,No,Credit card,92.76,1502.75,0
Female,0,No,No,10,Yes,Fiber optic,Yes,No,Yes,Month-to-month,No,Credit card,20.14,184.41,0
Female,0,Yes,Yes,41,Yes,DSL,No,No,No,One year,Yes,Bank transfer,58.37,2333.95,0
Female,0,Yes,No,27,Yes,DSL,No,No,No,Month-to-month,Yes,Credit card,108.79,2953.45,1
Male,0,Yes,Yes,60,Yes,Fiber optic,No,No,No,Month-to-month,No,Mailed check,71.07,4262.04,0
Male,0,Yes,No,52,Yes,DSL,No,Yes,No,Month-to-month,No,Electronic check,53.46,2803.09,0
Female,1,No,No,28,Yes,No,No,No,Yes,One year,Yes,Mailed check,43.87,1262.88,0
Female,1,No,No,65,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,Bank transfer,42.82,2799.3,0
Female,1,Yes,No,17,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Yes,Electronic check,28.18,505.47,1
Female,1,Yes,No,44,No,No,No,No,No,One year,Yes,Electronic check,101.36,4541.62,1
Female,0,Yes,Yes,10,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,26.84,253.85,0
Female,0,No,No,63,Yes,Fiber optic,No,No,Yes,Two year,Yes,Credit card,47.81,2950.81,0
Female,0,Yes,Yes,47,Yes,DSL,No,No,Yes,Month-to-month,No,Bank transfer,22.66,1080.72,0
Female,0,No,No,38,Yes,Fiber optic,No,No,Yes,One year,No,Mailed check,97.7,3648.53,0
Male,0,No,No,70,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Yes,Credit card,22.01,1484.62,1
Female,0,No,No,53,Yes,DSL,No,No,No,One year,Yes,Electronic check,49.45,2579.74,1
Male,0,Yes,No,44,Yes,No,No,No,Yes,One year,Yes,Mailed check,76.48,3302.58,0
Female,0,No,No,54,Yes,DSL,Yes,No,Yes,Two year,Yes,Mailed check,59.78,3286.55,0
Female,0,Yes,No,20,Yes,DSL,Yes,No,No,Month-to-month,Yes,Mailed check,46.79,938.25,0
Male,0,Yes,Yes,31,Yes,DSL,Yes,No,No,Month-to-month,No,Bank transfer,46.07,1463.51,0
Female,0,No,No,7,Yes,Fiber optic,Yes,No,No,One year,No,Credit card,99.37,721.1,1
Male,0,No,No,58,Yes,Fiber optic,No,Yes,Yes,Month-to-month,No,Bank transfer,117.35,6795.8,1
Female,1,Yes,No,10,Yes,DSL,Yes,Yes,Yes,Month-to-month,No,Electronic check,53.5,583.03,0
Female,0,Yes,No,10,No,DSL,No,No,No,Two year,No,Electronic check,21.99,195.77,0
Male,0,Yes,Yes,39,Yes,DSL,Yes,Yes,Yes,Month-to-month,No,Mailed check,21.73,839.07,0
Female,1,Yes,No,28,Yes,Fiber optic,No,No,Yes,Two year,Yes,Mailed check,95.44,2636.93,0
Male,1,Yes,No,30,Yes,DSL,No,Yes,No,Month-to-month,No,Mailed check,74.34,2300.22,0
Female,1,Yes,Yes,37,No,No,Yes,No,No,One year,Yes,Bank transfer,97.93,3618.05,1
Male,0,Yes,No,67,Yes,DSL,No,No,Yes,One year,Yes,Credit card,89.14,6002.28,0
Male,0,No,No,43,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer,110.57,4725.44,0
Female,0,No,No,52,Yes,DSL,No,No,No,Two year,No,Electronic check,108.35,5676.55,0
Female,0,No,No,56,Yes,Fiber optic,No,Yes,Yes,Month-to-month,No,Mailed check,98.41,5549.6,0
Male,0,Yes,Yes,68,Yes,DSL,No,No,No,Two year,No,Mailed check,66.47,4438.69,0
Female,0,No,No,9,Yes,DSL,No,No,No,One year,No,Bank transfer,49.43,445.08,0
Female,0,No,No,23,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,69.72,1609.41,1
Female,0,No,No,63,Yes,No,No,No,No,Two year,No,Credit card,69.21,4345.24,0
Male,0,No,No,61,Yes,Fiber optic,No,No,Yes,Month-to-month,No,Mailed check,80.25,4964.49,0
Male,0,No,Yes,40,Yes,Fiber optic,No,No,Yes,Two year,No,Mailed check,36.98,1418.34,0
Male,0,No,Yes,44,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Electronic check,84.87,3711.87,1
Male,0,Yes,No,24,Yes,No,No,No,No,Two year,Yes,Mailed check,64.57,1507.21,0
Male,0,No,No,51,Yes,DSL,Yes,No,No,One year,No,Credit card,81.26,4195.76,0
Male,1,No,No,58,Yes,Fiber optic,Yes,No,No,Month-to-month,Yes,Bank transfer,42.44,2410.09,1
Male,0,No,Yes,33,Yes,Fiber optic,No,No,No,One year,No,Electronic check,62.31,1964.6,0
Male,0,No,No,16,Yes,Fiber optic,Yes,Yes,No,Month-to-month,Yes,Mailed check,39.44,652.61,0
Male,0,Yes,No,22,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,107.28,2353.2,1
Female,0,Yes,No,57,Yes,DSL,Yes,No,No,Month-to-month,Yes,Credit card,67.77,3914.91,0
Male,0,No,Yes,62,Yes,DSL,No,No,No,Month-to-month,No,Bank transfer,40.95,2579.52,0
Female,0,No,No,71,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,Credit card,22.2,1574.08,0
Female,0,No,No,70,Yes,Fiber optic,No,No,No,Month-to-month,No,Bank transfer,86.93,6012.94,0
Female,0,Yes,No,30,Yes,DSL,Yes,No,No,Month-to-month,Yes,Credit card,39.89,1136.79,0
Male,1,Yes,No,23,Yes,Fiber optic,No,No,Yes,Month-to-month,No,Bank transfer,118.94,2646.96,0
Male,0,No,No,32,Yes,No,No,No,No,Month-to-month,No,Mailed check,72.44,2311.17,1
Male,0,No,No,57,Yes,DSL,No,Yes,No,One year,Yes,Mailed check,47.48,2673.42,0
Male,1,No,No,9,Yes,Fiber optic,No,Yes,No,One year,No,Mailed check,85.08,756.68,0
Female,1,Yes,Yes,31,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Yes,Electronic check,46.07,1436.85,1
Male,0,No,No,71,Yes,Fiber optic,No,No,No,Two year,Yes,Bank transfer,101.67,7313.49,0
Male,0,Yes,Yes,9,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,49.44,474.0,1
Male,0,No,No,13,Yes,Fiber optic,Yes,Yes,No,One year,No,Bank transfer,118.8,1547.97,1
Male,0,Yes,No,58,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Mailed check,79.72,4545.52,0
Male,0,Yes,No,3,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Electronic check,104.13,313.7,1
Female,0,No,No,35,Yes,Fiber optic,Yes,Yes,No,Two year,No,Electronic check,25.43,934.14,0
Male,0,No,Yes,21,Yes,Fiber optic,No,No,Yes,Two year,No,Credit card,53.53,1143.67,0
Female,1,Yes,No,64,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer,93.22,5913.69,1
Male,1,No,No,52,Yes,Fiber optic,No,No,No,Month-to-month,No,Credit card,84.82,4391.82,1
Female,0,Yes,Yes,34,Yes,DSL,No,No,Yes,One year,No,Electronic check,37.81,1289.21,0
Male,0,Yes,No,35,Yes,DSL,No,No,Yes,One year,Yes,Electronic check,54.33,1881.14,1
Male,0,Yes,Yes,15,Yes,DSL,No,No,Yes,Two year,No,Mailed check,44.87,642.19,0
Female,0,Yes,No,6,No,DSL,Yes,No,Yes,Month-to-month,Yes,Credit card,80.56,376.0,0
Female,0,No,No,32,Yes,No,No,No,No,Month-to-month,No,Credit card,53.15,1662.39,0
Female,0,Yes,Yes,52,Yes,Fiber optic,Yes,No,No,Month-to-month,Yes,Credit card,49.52,2587.6,1
Male,0,No,No,28,Yes,Fiber optic,No,No,Yes,Month-to-month,No,Bank transfer,39.15,1139.96,0
Female,0,No,Yes,64,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Electronic check,59.72,3825.89,1
Male,0,Yes,Yes,19,Yes,No,Yes,Yes,No,Two year,No,Credit card,37.94,773.83,0
Male,0,No,Yes,15,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Mailed check,116.18,1738.77,1
Female,0,Yes,No,6,Yes,No,No,No,Yes,Two year,Yes,Electronic check,33.76,158.67,0
Female,0,No,No,38,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,Mailed check,111.16,4200.38,1
Male,1,Yes,No,26,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,61.7,1629.15,1
Male,0,Yes,Yes,51,No,Fiber optic,No,Yes,No,Month-to-month,Yes,Mailed check,56.54,2870.14,0
Female,0,Yes,Yes,53,Yes,DSL,No,No,No,Month-to-month,Yes,Credit card,41.59,2172.15,0
Female,0,Yes,No,56,No,Fiber optic,Yes,Yes,Yes,Two year,Yes,Credit card,82.85,4561.72,0
Female,0,Yes,No,59,No,Fiber optic,No,No,No,Month-to-month,No,Mailed check,87.92,5142.62,0
Male,0,No,No,70,Yes,DSL,Yes,No,No,Month-to-month,Yes,Bank transfer,65.69,4578.45,0
Male,0,No,Yes,58,Yes,Fiber optic,No,No,No,Month-to-month,No,Mailed check,23.68,1344.37,1
Male,0,No,No,13,Yes,DSL,No,Yes,No,Month-to-month,Yes,Electronic check,111.69,1403.24,0
Male,0,No,No,43,Yes,DSL,Yes,Yes,No,One year,Yes,Mailed check,117.99,5151.44,0
Male,1,Yes,No,51,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,61.97,3190.49,1
Male,0,Yes,No,19,Yes,Fiber optic,No,Yes,No,One year,No,Electronic check,80.59,1640.82,0
Female,0,Yes,Yes,21,Yes,No,No,No,No,One year,Yes,Credit card,63.93,1262.27,0
Male,1,Yes,No,24,Yes,Fiber optic,Yes,No,No,Month-to-month,Yes,Electronic check,50.83,1235.58,0
Male,0,No,No,26,Yes,Fiber optic,Yes,Yes,No,Month-to-month,Yes,Mailed check,25.89,651.41,1
Male,1,No,No,45,Yes,Fiber optic,No,Yes,No,One year,No,Electronic check,64.52,2904.38,0
Female,0,Yes,No,28,Yes,Fiber optic,No,Yes,No,One year,Yes,Mailed check,101.48,2933.98,0
Male,0,Yes,No,29,Yes,No,No,No,No,Month-to-month,No,Credit card,19.74,485.49,1
Male,0,No,No,17,Yes,DSL,Yes,No,Yes,Month-to-month,Yes,Mailed check,77.37,1286.65,0
Female,0,No,Yes,68,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,107.84,7295.71,0
Male,0,Yes,No,44,Yes,No,No,No,No,Month-to-month,Yes,Credit card,40.19,1739.86,0
Male,0,No,No,61,Yes,Fiber optic,No,No,Yes,Month-to-month,No,Electronic check,36.69,2132.56,1
Male,0,No,No,68,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer,96.77,6644.63,0
Male,0,Yes,No,25,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,Bank transfer,44.02,1166.75,1
Male,0,Yes,Yes,67,Yes,No,No,No,No,Month-to-month,No,Mailed check,37.58,2546.95,0
Female,1,No,No,2,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Yes,Mailed check,56.55,46.18,0
Female,1,No,No,49,Yes,DSL,No,No,Yes,Two year,No,Credit card,58.04,2857.84,0
Female,1,No,Yes,70,Yes,No,No,Yes,No,One year,Yes,Electronic check,107.16,7544.5,1
Male,0,Yes,No,26,Yes,Fiber optic,No,No,Yes,Two year,Yes,Bank transfer,81.08,2127.5,1
Male,0,Yes,Yes,27,Yes,Fiber optic,No,Yes,No,Month-to-month,No,Bank transfer,59.41,1601.6,0
Male,0,No,No,18,Yes,Fiber optic,Yes,No,Yes,One year,No,Credit card,72.51,1375.71,0
Female,0,No,No,54,Yes,DSL,Yes,No,No,Month-to-month,Yes,Credit card,115.3,6190.74,0
Male,0,Yes,No,1,Yes,Fiber optic,Yes,No,No,One year,Yes,Bank transfer,29.55,21.11,0
Male,0,No,No,61,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,39.19,2421.87,0
Female,0,No,No,3,Yes,DSL,Yes,No,Yes,Month-to-month,No,Electronic check,116.18,364.43,0
Male,0,No,No,68,Yes,DSL,No,No,No,Two year,Yes,Electronic check,115.65,7892.2,0
Female,0,No,No,41,Yes,DSL,No,No,No,One year,No,Mailed check,36.07,1505.55,0
Female,0,No,No,37,Yes,Fiber optic,No,Yes,Yes,Two year,Yes,Electronic check,32.8,1239.84,0
Female,0,Yes,No,51,Yes,Fiber optic,Yes,No,No,Month-to-month,Yes,Mailed check,60.95,3090.21,1
Male,1,No,Yes,15,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,23.07,311.17,0
Male,0,Yes,No,8,Yes,No,No,No,No,Month-to-month,Yes,Credit card,84.8,685.26,0
Male,0,No,Yes,38,Yes,Fiber optic,No,No,Yes,One year,Yes,Mailed check,25.9,1059.76,0
Male,0,Yes,No,56,Yes,DSL,No,No,Yes,One year,Yes,Mailed check,23.92,1338.28,1
Male,0,No,No,47,Yes,No,No,No,No,Two year,No,Credit card,67.49,3202.0,1
Male,0,Yes,No,10,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Electronic check,115.69,1162.52,1
Male,0,Yes,No,49,Yes,Fiber optic,No,No,No,One year,No,Electronic check,61.53,3116.66,1
Female,0,Yes,No,41,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,Bank transfer,54.36,2221.86,0
Male,0,Yes,No,30,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer,119.79,3623.84,0
Female,0,No,Yes,5,Yes,Fiber optic,No,No,No,Month-to-month,No,Mailed check,72.26,325.36,0
Male,0,No,Yes,71,Yes,Fiber optic,No,No,Yes,Month-to-month,No,Bank transfer,56.27,3939.15,0
Male,1,No,Yes,31,Yes,Fiber optic,No,No,No,Month-to-month,No,Credit card,57.36,1777.81,1
Male,0,Yes,No,52,Yes,DSL,Yes,Yes,No,Month-to-month,Yes,Bank transfer,37.89,2029.33,0
Female,0,Yes,Yes,23,Yes,Fiber optic,No,No,No,Month-to-month,No,Bank transfer,70.25,1647.43,1
Female,1,Yes,No,48,No,Fiber optic,No,No,No,Month-to-month,No,Mailed check,62.76,2908.16,1
Female,0,Yes,No,40,Yes,DSL,No,No,Yes,Month-to-month,Yes,Credit card,45.62,1861.44,0
Female,0,No,Yes,6,Yes,DSL,No,No,No,Month-to-month,Yes,Bank transfer,34.38,129.71,0
Male,0,Yes,No,38,Yes,DSL,No,No,Yes,Month-to-month,Yes,Electronic check,49.75,1932.5,1
Female,0,Yes,No,41,Yes,Fiber optic,No,Yes,Yes,Two year,Yes,Credit card,69.89,2892.71,0
Male,1,Yes,Yes,27,Yes,No,No,No,Yes,Two year,Yes,Credit card,23.95,639.16,0
Male,0,Yes,No,69,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,33.68,2360.28,0
Female,1,No,No,57,No,Fiber optic,No,No,Yes,Two year,Yes,Credit card,114.66,6522.41,0
Female,0,No,No,17,Yes,Fiber optic,Yes,Yes,No,One year,No,Credit card,73.37,1254.76,0
Female,0,Yes,No,71,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card,24.47,1665.46,0
Female,0,Yes,No,47,Yes,DSL,No,Yes,No,Month-to-month,No,Credit card,88.69,4155.62,1
Female,0,Yes,No,13,Yes,Fiber optic,Yes,No,Yes,Two year,Yes,Credit card,24.3,362.09,0
Female,0,Yes,Yes,11,No,Fiber optic,No,Yes,Yes,One year,Yes,Credit card,93.37,960.51,0
Female,1,Yes,No,24,Yes,DSL,Yes,Yes,No,Two year,Yes,Credit card,94.5,2308.93,0
Female,0,No,No,4,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,84.41,236.7,0
Male,1,No,Yes,46,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card,92.68,4203.8,0
Female,0,No,No,18,Yes,DSL,No,Yes,No,Month-to-month,No,Mailed check,26.97,469.72,0
Female,1,Yes,No,43,Yes,DSL,No,No,No,Month-to-month,Yes,Electronic check,92.13,3969.27,1
Male,0,Yes,No,33,Yes,DSL,No,Yes,No,Month-to-month,No,Credit card,31.94,1025.38,0
Female,0,No,No,10,Yes,DSL,No,No,No,Month-to-month,Yes,Bank transfer,52.63,496.3,1
Male,1,No,No,59,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,Mailed check,114.16,6790.8,0
Male,0,No,No,31,Yes,Fiber optic,No,No,No,Month-to-month,No,Electronic check,69.29,2207.42,0
Female,0,Yes,No,28,Yes,DSL,No,No,Yes,Month-to-month,Yes,Mailed check,116.68,3245.82,1
Male,0,No,No,60,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,27.07,1604.49,0
Male,0,Yes,No,3,Yes,Fiber optic,Yes,No,No,Month-to-month,Yes,Bank transfer,66.71,185.78,1
Male,1,No,No,55,Yes,DSL,No,Yes,Yes,Month-to-month,Yes,Mailed check,24.37,1451.24,1
Male,0,No,No,14,Yes,DSL,No,No,No,Month-to-month,Yes,Mailed check,82.28,1152.77,1
Female,0,No,No,58,Yes,Fiber optic,No,No,Yes,One year,Yes,Electronic check,26.03,1588.29,0
Male,0,Yes,No,15,Yes,Fiber optic,No,Yes,Yes,Two year,Yes,Electronic check,35.89,574.95,0
Female,0,No,No,2,Yes,DSL,No,No,Yes,Month-to-month,No,Bank transfer,44.4,83.56,0
